type,dataset,country,id
location,MC1,,d0123474-8425-4ab0-90d5-175920158638
organization,MC1,,425887173
organization,MC1,,86597
location,MC1,,405ab2a5-68f0-4304-ab94-24c7995a248e
political_organization,MC1,,44842
location,MC1,,e2b334d9-4d51-40b2-a7b1-441b88400b75
political_organization,MC1,,68
organization,MC1,,610
organization,MC1,,4063
organization,MC1,,740523
vessel,MC1,,Marine
,MC1,,255â273
location,MC1,,91dcf36d-dba8-41e8-a4cc-912981a27296
organization,MC1,,69150209
organization,MC1,,2
organization,MC1,,72
organization,MC1,,35881
location,MC1,,06430a2c-805a-4a76-bbda-2a24c0c860d7
person,MC1,Nalakond,Derek Burke
political_organization,MC1,,490653
political_organization,MC1,,888
organization,MC1,,775298545
organization,MC1,,26676370
company,MC1,Country_271835,Viento Azul Harbor LLC Investment
vessel,MC1,,Viking fishing
organization,MC1,,44956
political_organization,MC1,,3
organization,MC1,,5
location,MC1,,0715f2ea-3d11-4eaa-a0c4-fb3290896531
vessel,MC1,,77
person,MC1,Oceanus,Andrea Gibson
movement,MC1,,hours
organization,MC1,,7298083
organization,MC1,,21
organization,MC1,,6
person,MC1,Country_271835,Alexander Buchanan
person,MC1,Oceanus,Maria Mitchell
organization,MC1,,9
location,MC1,,14bda3bb-9993-4265-97cc-1747808c144e
person,MC1,Oceanus,Amanda Mckenzie
organization,MC1,,8698
person,MC1,Country_271835,Claire Russell
organization,MC1,,964
person,MC1,Country_271835,Scott Medina
organization,MC1,,2262
organization,MC1,,93873119
person,MC1,Country_271835,Jeremy Cordova
location,MC1,,602ea158-0519-47fc-badc-787721580418
person,MC1,Country_271835,Victoria Parks
,MC1,,St
location,MC1,,e40c01a4-8ed5-400f-857d-31e7bd263e35
organization,MC1,,49494
organization,MC1,,551
person,MC1,Country_271835,Bryan Taylor
organization,MC1,,380
location,MC1,,f20779bf-63b5-4ea4-bb5f-944bb9449bce
organization,MC1,,349
organization,MC1,,97453782
organization,MC1,,71835024
person,MC1,Country_271835,Anne Anderson
person,MC1,Country_271835,Brian Nelson
organization,MC1,,78590886
organization,MC1,,7209
organization,MC1,,79139
organization,MC1,,78135
organization,MC1,,5810
organization,MC1,,704138011
organization,MC1,,84616
organization,MC1,,66538530
organization,MC1,,12731
location,MC1,,ee05a28e-82ba-4f1d-a60f-68797a422ada
political_organization,MC1,,82344
organization,MC1,,58
person,MC1,Country_19028,Cynthia Williams
,MC1,,Armed Robberyâ
organization,MC1,,76
organization,MC1,,6731
organization,MC1,,83
person,MC1,Vesperanda,Ms. Stephanie Rivera DDS
organization,MC1,,665
organization,MC1,,89772543
,MC1,,âunregulatedâ
location,MC1,,aea12579-8802-4b2d-b432-fc35fe4d10d5
location,MC1,,a7948099-0cab-4b80-8707-2ada931ac288
person,MC1,Country_271835,Michael Smith
person,MC1,Country_271835,Melanie Miller
organization,MC1,,12
organization,MC1,,27
person,MC1,Country_271835,Timothy Allen
person,MC1,Riodelsol,Nathaniel Jimenez
location,MC1,,3b728c8f-1eaa-4f16-8c63-d3bcffd437bb
company,MC1,Oceanus,Turkish Sword Buoy Incorporated Forwading
organization,MC1,,498817
organization,MC1,,2989
organization,MC1,,967
location,MC1,,df42b319-be6a-4a2e-b11d-c4da7ecfc01c
organization,MC1,,185106
organization,MC1,,947
person,MC1,Vesperand's Bay,Gregory Ortiz
person,MC1,Vesperand's Bay,Michael Compton
organization,MC1,,4348721
vessel,MC1,,USS Hershel
location,MC1,,b20c0baf-8530-4a84-a5b6-8da324ebebdb
organization,MC1,,26
organization,MC1,,21538
organization,MC1,,860600018
organization,MC1,,237659945
person,MC1,Country_271835,Victoria Anderson
vessel,MC1,,USCGC Spencer
vessel,MC1,,WMEC
organization,MC1,,435054320
vessel,MC1,,Cutter
location,MC1,,f21800ca-b3c9-404b-8438-3d75ea84c409
organization,MC1,,1560
,MC1,,Sept
person,MC1,Nalakond,John Gonzalez
organization,MC1,,68703341
political_organization,MC1,,57
political_organization,MC1,,6046437
location,MC1,,03b6c1a6-dcd8-462f-9a7e-bf9ea7e0a987
event,MC1,,Act
location,MC1,,9a651d73-d88f-4f9c-9497-7321ef575c6f
person,MC1,Country_271835,Natasha Phillips
location,MC1,,36351742-aff4-4df7-a495-1f1f2c94127a
person,MC1,Country_951683,Dakota Hansen
organization,MC1,,301
person,MC1,Country_271835,James Best
organization,MC1,,9203
organization,MC1,,3878194
person,MC1,Country_271835,Amy Kent
,MC1,,Conventionâ
event,MC1,,months years
vessel,MC1,,water fishing
,MC1,,monthsâ
vessel,MC1,,18
movement,MC1,,months
person,MC1,Country_271835,Emily Johnson
organization,MC1,,94
location,MC1,,e85c691a-2adc-4094-8d29-5ea328486951
organization,MC1,,760079
organization,MC1,,3009706
location,MC1,,41870892-4565-42cd-9374-8665d01e9aa9
person,MC1,Country_271835,Susan Erickson
organization,MC1,,80191
location,MC1,,0f5fd4f9-1683-464e-9459-a4488de5064b
event,MC1,,cookies
person,MC1,Syrithania,Ashley Davis
organization,MC1,,924
organization,MC1,,865275
organization,MC1,,449308
organization,MC1,,28
organization,MC1,,23777
organization,MC1,,518
organization,MC1,,426469
location,MC1,,6064a564-2a82-44b7-8614-3a33f25e41ba
location,MC1,,3cda9d0b-77af-4e85-bef8-e935ca55ea06
organization,MC1,,494197
organization,MC1,,200640636
organization,MC1,,23
organization,MC1,,144431
person,MC1,Country_271835,Debbie Daniel
company,MC1,Country_628643,png xi  Line
organization,MC1,,26261586
organization,MC1,,15910405
organization,MC1,,7361
organization,MC1,,85052185
organization,MC1,,48605
location,MC1,,c73572b6-7b24-49e7-8f52-11cf8ec3c7d2
organization,MC1,,8412071
organization,MC1,,439861274
person,MC1,Country_271835,Brian Williams
organization,MC1,,908724
person,MC1,Country_271835,Jennifer Price
political_organization,MC1,,653505420
person,MC1,Country_271835,Kimberly Palmer
organization,MC1,,5848
organization,MC1,,15785056
organization,MC1,,733
organization,MC1,,277983365
company,MC1,Rio Isla,Playa del Cielo Kga
organization,MC1,,26431
location,MC1,,6d249c4d-1f62-4ab2-b107-8fd978f115c7
organization,MC1,,3785
organization,MC1,,164575
person,MC1,Country_271835,Spencer King
person,MC1,Country_271835,Dawn Oconnell
event,MC1,,âŠ
organization,MC1,,1396
organization,MC1,,235866056
location,MC1,,d5b94ebc-e03a-438e-872b-a15db349a748
organization,MC1,,486
event,MC1,,arts
,MC1,,98
person,MC1,Country_271835,Timothy Cuevas
person,MC1,Country_271835,Joshua Glover
person,MC1,Country_271835,Tara Villegas
person,MC1,Country_271835,Ashley Wiggins
political_organization,MC1,,49048884
organization,MC1,,9612243
person,MC1,Country_271835,Andrea Hansen
,MC1,,189
,MC1,,07
organization,MC1,,737205
event,MC1,,April
organization,MC1,,5705060
organization,MC1,,959
company,MC1,Country_271835,Belgian Scallop Ltd. Liability Co
,MC1,,ânecessaryâ
organization,MC1,,883320938
person,MC1,Country_271835,Ryan Williams
person,MC1,Country_271835,Colleen Everett
person,MC1,Country_271835,Brenda Gonzalez
organization,MC1,,2198
person,MC1,Country_271835,Clayton Rodgers
person,MC1,Country_271835,Randy Collins
location,MC1,,41398ea8-d14a-4666-80e8-6a212684d871
person,MC1,Country_271835,Brandon Berger
organization,MC1,,40690
location,MC1,,e836e8c3-a45e-4225-870d-d3e8dbc62c26
person,MC1,Oceanus,Jennifer Alvarez
person,MC1,Oceanus,Bryce Baker
organization,MC1,,743225
company,MC1,Country_271835,Norwegian Shrimp Ltd. Liability Co
company,MC1,Nalakond,Rajasthan Limited Liability Company
organization,MC1,,4783
person,MC1,Country_271835,Timothy Estrada
event,MC1,,ten
location,MC1,,e2816018-e01c-4eac-8dc5-e84aebc22cff
person,MC1,Country_271835,Vanessa Avila
organization,MC1,,529
organization,MC1,,47924922
organization,MC1,,49
political_organization,MC1,,12845006
organization,MC1,,9488645
person,MC1,Merigrad,Lauren Moore
,MC1,,âlocalâ
,MC1,,Leominster Provincetownâ
location,MC1,,371bf15a-3000-499a-88e4-cc096b028ec7
political_organization,MC1,,913428
location,MC1,,d7f220de-bba2-4965-9c15-3dd38ef5c3c7
,MC1,,fisheriesâ
person,MC1,Country_271835,Mark Weiss
organization,MC1,,53073557
person,MC1,Country_271835,Jason Davis
organization,MC1,,34
person,MC1,Country_271835,Erin Bowen
person,MC1,Country_19028,Albert Thomas
organization,MC1,,31408
organization,MC1,,28064
person,MC1,Country_271835,Kyle Stanton
location,MC1,,ae16dd9b-0271-4699-91bc-0ce6b69357c6
person,MC1,Country_271835,Mrs. Crystal Reyes
location,MC1,,e31b2b9c-3197-4c2c-ac40-3c6711a4682b
location,MC1,,5a52675e-1243-4244-ad55-85a06c4408de
person,MC1,Oceanus,Stephanie Hinton
location,MC1,,8153f5cb-e1f7-49bb-91bb-24b3a296a40a
organization,MC1,,70873
company,MC1,Country_338740,Estrella de Mar Ltd. Liability Co
vessel,MC1,,Ship2Report
organization,MC1,,90562
location,MC1,,b28d568f-09b4-41bd-b04d-4cf255f1adc6
organization,MC1,,410
organization,MC1,,47562016
organization,MC1,,87940
organization,MC1,,5639000
organization,MC1,,5372
organization,MC1,,951093
organization,MC1,,86590543
person,MC1,Country_271835,Jonathan Smith
location,MC1,,217fe70e-cc2d-4899-9127-e0a7da182699
company,MC1,Country_271835,Playa de la Luna Ltd. Corporation
organization,MC1,,304
organization,MC1,,672
location,MC1,,02cd44a1-7945-40d9-b38f-56f70976582c
organization,MC1,,7950
organization,MC1,,44
organization,MC1,,41
organization,MC1,,2125
location,MC1,,1076f239-831c-4c53-9134-484c8f2d5c73
person,MC1,Country_271835,Amy Wilson
location,MC1,,9e2e5adf-b6aa-4e7f-9af1-a899ceccfba6
organization,MC1,,59
organization,MC1,,46510923
vessel,MC1,,pilot
organization,MC1,,9699687
company,MC1,Vesperlandia,Mar del Oeste Pic
organization,MC1,,31
organization,MC1,,4526320
organization,MC1,,98748
organization,MC1,,50
organization,MC1,,5495
political_organization,MC1,,454
organization,MC1,,83818120
person,MC1,Country_271835,Mr. Gregory Brown
organization,MC1,,8327
organization,MC1,,222848436
vessel,MC1,,Amphibious Warships
person,MC1,Country_271835,Brian Weber
movement,MC1,,weeks
organization,MC1,,40213337
vessel,MC1,,cutters
vessel,MC1,,Coast
organization,MC1,,7505050
event,MC1,,Today
event,MC1,,June year
organization,MC1,,8787
political_organization,MC1,,218
political_organization,MC1,,88149
organization,MC1,,175
person,MC1,Country_271835,Michael Nicholson
person,MC1,Country_271835,Andrea Peters
organization,MC1,,7691
organization,MC1,,98332
organization,MC1,,78565892
location,MC1,,df365f60-c399-42f5-ad38-736145edef5e
organization,MC1,,4146760
organization,MC1,,812740593
person,MC1,Country_271835,Joshua Baker
organization,MC1,,4764109
organization,MC1,,761
location,MC1,,a7d22b55-872d-4fc0-b1ea-935f63ce0d2a
vessel,MC1,,water
,MC1,,âdevil vesselsâ
person,MC1,Country_245265,Erik Johnson
person,MC1,Country_271835,Alexandria Wilson
organization,MC1,,9786
person,MC1,Country_271835,Stephanie Garner
,MC1,,œÆï
,MC1,,œe1Pï
,MC1,,œe1Pï¿œPï
,MC1,,œPï
,MC1,,œíï
,MC1,,œXuï
,MC1,,œÞ£ï
,MC1,,œ8p
,MC1,,œk
,MC1,,œPjï
,MC1,,œÞï
,MC1,,œB
,MC1,,œlÞuï
,MC1,,iJPkï
,MC1,,œ5ï
,MC1,,œï
,MC1,,œDdï
,MC1,,Æï
,MC1,,œgï
,MC1,,pï¿œï
,MC1,,œï¿œï
,MC1,,Kï
,MC1,,œiï
,MC1,,qï¿œî
,MC1,,œGuï
,MC1,,œPm6
,MC1,,œz
,MC1,,œNï
,MC1,,œÎï
,MC1,,œbjNnnï
,MC1,,œLï
,MC1,,œß
,MC1,,œ5ï
,MC1,,Éd
,MC1,,Lï
,MC1,,œjOÑ
,MC1,,œY
,MC1,,œnOï
,MC1,,Nï
,MC1,,œzï
,MC1,,œX
,MC1,,œÒŒipï
,MC1,,œMSssï
,MC1,,œx
,MC1,,œVï
,MC1,,œUkï
,MC1,,œmï¿œdï
,MC1,,œmç¢kï
,MC1,,œmç¢kï¿œF1ï
,MC1,,œF1ï
,MC1,,œF1ï¿œF
person,MC1,Country_271835,Miguel Fisher
event,MC1,,Last
person,MC1,Country_271835,Jeremy Norris
person,MC1,Marebak,Dana Goodwin
organization,MC1,,897
location,MC1,,5961c4ed-5c5b-40e4-b0ab-1e0217cb12c0
location,MC1,,d3243667-8978-454b-917e-530ab514fcb0
organization,MC1,,2243528
location,MC1,,693c9865-5633-40a1-bcb6-3f0dd68a41c4
organization,MC1,,544344
organization,MC1,,2056
organization,MC1,,95219
organization,MC1,,579919
vessel,MC1,,Ocean Tuna
organization,MC1,,262157542
organization,MC1,,46194
organization,MC1,,826273
organization,MC1,,951
organization,MC1,,911
organization,MC1,,9204971
organization,MC1,,2230601
event,MC1,,10
vessel,MC1,,Explorer
person,MC1,Country_271835,Diana Brandt
person,MC1,Country_271835,Brandi Bowen
person,MC1,Country_271835,Taylor Chan
location,MC1,,1a069318-6dc0-45d0-9948-7b846f61c201
location,MC1,,79513661-4dbe-4797-a73a-e53177f7a4b3
person,MC1,Country_271835,Michele Henry
organization,MC1,,36295
location,MC1,,a7a35f33-3e72-44f2-a51b-922e44da23bc
,MC1,,âartisanalâ
,MC1,,âsubsistenceâ
person,MC1,Country_271835,Jeremiah Delacruz
event,MC1,,âsquids
event,MC1,,âclams
event,MC1,,Octopus
organization,MC1,,60253
organization,MC1,,109746
organization,MC1,,13015105
person,MC1,Country_552976,Ms. Jenna Gonzalez MD
location,MC1,,37e46ce7-3cfa-4805-a254-5549adf19805
person,MC1,Country_552976,Scott Mays
location,MC1,,b4caf8cd-dbc7-4c99-9f2b-de407274c08b
location,MC1,,38b72863-eaf3-4270-a213-d9ddaee2c6cb
location,MC1,,410af01b-a5fb-4d6c-946d-a48fea30332b
event,MC1,,âSocioeconomic
organization,MC1,,553309
,MC1,,EBSCOhostâsearched âoctopus
,MC1,,AND fisheryâ
organization,MC1,,515270
location,MC1,,09e2222b-c13c-4a94-b1d9-b79238be0788
,MC1,,artisanalâ
political_organization,MC1,,704
person,MC1,Country_271835,Elizabeth Savage
,MC1,,âoctopusâ
,MC1,,âcephalopodâ
,MC1,,cyaneaâ
,MC1,,mayaâ
person,MC1,Country_271835,Taylor Park
,MC1,,âpolvoâ
,MC1,,âlivelihoodâ
person,MC1,Country_271835,Angela Wheeler
person,MC1,Country_271835,Lisa Branch
,MC1,,folkâ
,MC1,,âwomenâ
,MC1,,âfisherâ
,MC1,,managementâ
,MC1,,âo
person,MC1,Country_271835,Adam Blankenship
,MC1,,âpoulpeâ
person,MC1,Country_271835,Mr. Thomas Johnson DDS
,MC1,,scaleâ
company,MC1,Country_271835,Costa del Mar Oyj Hijiki
person,MC1,Quandoria,Miss Jessica Baker DVM
,MC1,,Alonso-FernÃ
location,MC1,,4b6a1701-93c3-403c-bd2f-9684106e8bba
location,MC1,,c1aeee2d-0030-4d85-b45c-ac3fd9887b98
company,MC1,Osterivaria,Bu yu wang Plc Carriers
person,MC1,Country_271835,Jeffrey Yates
location,MC1,,42aea61e-a98f-4528-9f30-51624ecf3957
organization,MC1,,1334578
organization,MC1,,7670
organization,MC1,,43
movement,MC1,,conjunction
event,MC1,,OE23
organization,MC1,,3601920
organization,MC1,,435978092
person,MC1,Uzimoria,Andres Cook
location,MC1,,22a2062d-03d8-48c3-9e91-9e5930b8d29f
person,MC1,Country_271835,Tyler Guzman
location,MC1,,ab195b55-453e-4436-ab0c-9f5660b4ec8c
person,MC1,Country_874023,Joseph Gonzales
person,MC1,Oceanus,Cindy Ritter
organization,MC1,,5441
organization,MC1,,199442
political_organization,MC1,,903
person,MC1,Country_874023,Erica Mitchell
organization,MC1,,829
organization,MC1,,995899
organization,MC1,,47249
organization,MC1,,23399545
political_organization,MC1,,621
,MC1,,europeansting
company,MC1,Country_271835,Jammu & Kashmir Ltd Family
political_organization,MC1,,7023
organization,MC1,,13863
person,MC1,Country_271835,James Smith MD
person,MC1,Country_271835,Brian Palmer
organization,MC1,,35683821
person,MC1,Country_895471,Morgan Bell
organization,MC1,,1465792
organization,MC1,,366
organization,MC1,,19386200
organization,MC1,,85946
organization,MC1,,172114
organization,MC1,,657
organization,MC1,,87339689
organization,MC1,,522017227
political_organization,MC1,,29
political_organization,MC1,,327481624
location,MC1,,cf651b3c-4e21-458c-91c4-3cae2eb36bcb
location,MC1,,17c99d9d-7049-4ebb-8a2a-f3d39cc42870
organization,MC1,,760402
person,MC1,Country_271835,Sarah Clark
vessel,MC1,,Water
organization,MC1,,737137552
location,MC1,,77bfcfcd-af2c-4b58-8a99-871a6c6109f2
location,MC1,,25875c2e-ff9a-4669-bad7-2c84bafb7515
person,MC1,Country_271835,Matthew Martin
person,MC1,Country_271835,Tyler Brown
organization,MC1,,11960055
location,MC1,,ce0d446c-d08d-49a8-8aa2-e625ead63d0c
organization,MC1,,25423
company,MC1,Country_271835,Delhi ers AS Holdings
company,MC1,Country_271835,Cape of Good Hope  Oyj
location,MC1,,abcb0d9c-80da-4491-99f3-e093984f5373
person,MC1,Oceanus,Erin Simmons
,MC1,,LOMÃ
location,MC1,,6ae0d6bb-b101-4905-8b41-86b10a580c82
person,MC1,Oceanus,Kristina Frazier
person,MC1,Oceanus,Bryan Johnston
organization,MC1,,874124852
location,MC1,,05ef2661-6f3a-4f37-83e7-2ec8352afaef
location,MC1,,2ef60e7b-4914-4dbd-a063-5b23143fe5db
political_organization,MC1,,2633692
location,MC1,,fc4e853f-6e18-4631-bf95-f70d6a30579f
location,MC1,,6c7a8222-efc7-41a6-809a-043b091ae04a
person,MC1,Country_271835,Dale Warner
organization,MC1,,451
location,MC1,,705283b0-cdb7-4f0a-8481-b3fea243a8e5
location,MC1,,30295c76-f2c6-4284-89fd-8f8fd082889b
,MC1,,Statesâ
vessel,MC1,,Gulf
vessel,MC1,,Boat
person,MC1,Country_271835,Teresa Rivera
organization,MC1,,767368152
location,MC1,,6d887b98-7c48-4a82-98bb-2f50fe4b29d5
vessel,MC1,,salmon
person,MC1,Country_271835,George Ramirez
location,MC1,,4e872202-1d65-4183-80c9-e8c12c8f736e
organization,MC1,,4382
organization,MC1,,7320771
organization,MC1,,94760735
political_organization,MC1,,969
location,MC1,,86dc0f8c-7305-4c1e-b655-cf16eefd6fce
location,MC1,,8164acdd-514f-4e18-867c-4bc63cebf15b
company,MC1,Country_271835,Playa del Mar Caviar
location,MC1,,a7f76d84-4ccf-424a-9bf9-fc20b862b7a8
organization,MC1,,142
organization,MC1,,3183
company,MC1,Country_766259,Estrella de la Costa Inc Transit
organization,MC1,,802113
organization,MC1,,372016989
person,MC1,Country_271835,Alan Pacheco
location,MC1,,50335cc3-71d6-4803-baca-5faaecfc33cb
person,MC1,Country_271835,Virginia Carter
person,MC1,Country_271835,April James
,MC1,,Aleut Community St
,MC1,,KanuuxÌ
location,MC1,,e8036bce-0679-41d2-aa7b-d444163ae65a
,MC1,,âSewardâs Follyâ
person,MC1,Country_271835,Wendy Duarte
location,MC1,,aa1f466d-d060-40fa-ab0e-3f8bb2ca940f
person,MC1,Country_271835,Alexis Murphy
,MC1,,AlaÄum KanuuxÌ
person,MC1,Country_34878,Angela Powers
person,MC1,Country_271835,Eric Gentry
person,MC1,Country_271835,Donna Shepherd
company,MC1,Country_271835,Zambezi Rapids NV Brothers
organization,MC1,,25652724
organization,MC1,,430
location,MC1,,f402c1d2-8262-4bae-aa92-c8675a7006fc
organization,MC1,,49729
organization,MC1,,9209373
location,MC1,,dff423b9-cf9a-4b0a-849f-ecb513924287
organization,MC1,,993137821
organization,MC1,,2421
organization,MC1,,7413
political_organization,MC1,,43185
organization,MC1,,937182447
,MC1,,âAlaÄum KanuuxÌ
organization,MC1,,861
person,MC1,Country_271835,Gary Scott
organization,MC1,,883290144
organization,MC1,,859375359
location,MC1,,47967ccc-0e26-458d-b1e5-80e8668db714
organization,MC1,,7056336
organization,MC1,,36322
organization,MC1,,52
location,MC1,,c9b9c344-98ec-40b8-af05-8528e5d82534
organization,MC1,,42603647
organization,MC1,,8544797
organization,MC1,,5070599
organization,MC1,,8966
organization,MC1,,39
vessel,MC1,,Plastic
organization,MC1,,927244
location,MC1,,e53552bc-174b-4799-b96b-c23cfa0731cb
organization,MC1,,9166
vessel,MC1,,19
organization,MC1,,48
person,MC1,Oceanus,Thomas Curry
location,MC1,,87ea830d-be41-4317-8b1b-142f23da70d7
organization,MC1,,662118
organization,MC1,,45
location,MC1,,c14a3dc1-59d0-4b92-b9f3-331e51912787
,MC1,,17 Sept
person,MC1,Oceanus,Christopher Peterson
organization,MC1,,505943
person,MC1,Country_271835,Isaiah Hammond
person,MC1,Country_271835,Erica Bailey
organization,MC1,,90183
organization,MC1,,79538
person,MC1,Country_271835,Kevin Norton
person,MC1,Country_271835,Gregory Moore
organization,MC1,,43685541
organization,MC1,,7871
organization,MC1,,7247721
organization,MC1,,22
location,MC1,,cefaf8b3-3aa2-4c59-b4aa-7974c8e1fe32
,MC1,,âgreenâ
movement,MC1,,normal
location,MC1,,ede1806c-b3d1-47f5-ba49-d948d6ec385a
organization,MC1,,36
location,MC1,,52e9a600-9d6f-4683-95be-c7c60c57ffe1
person,MC1,Polarisdom,Christina Olsen
,MC1,,DiÃ
,MC1,,logo
person,MC1,Country_271835,Amy Wise
organization,MC1,,8609
political_organization,MC1,,40952
organization,MC1,,27641046
location,MC1,,e167b40a-96f4-40e0-873b-78950e4434f4
organization,MC1,,324989705
organization,MC1,,5415
organization,MC1,,9473
location,MC1,,52093e45-b873-4300-9612-8dfc291b1339
location,MC1,,46aadaa6-fb30-4474-a060-3adb689f4189
location,MC1,,8c53a730-3aa1-463f-aef6-999a3cfbfb70
organization,MC1,,528
person,MC1,Country_895471,Abigail Foster
company,MC1,Marebak,Rybachit Limited Liability Company
person,MC1,Country_271835,Hunter Wheeler
person,MC1,Country_271835,Christopher Miller
location,MC1,,ae88562c-5c39-4c15-b128-b4f67f5e5812
,MC1,,ipoa-iuu
,MC1,,Think Tank Index Reportâ
,MC1,,upenn
,MC1,,edu
location,MC1,,2ceda972-c633-4a88-bbe8-a4fe48cb5555
,MC1,,Torremolinos
,MC1,,International-Convention
,MC1,,imo
organization,MC1,,890
,MC1,,âU
company,MC1,Country_271835,Senegal Coast Oyj Motorboat
organization,MC1,,762833
vessel,MC1,,Spy
person,MC1,Country_271835,Howard Pierce
political_organization,MC1,,228
political_organization,MC1,,63
organization,MC1,,84
political_organization,MC1,,22150
person,MC1,Country_271835,Jill Boyd
person,MC1,Country_459036,Kristin Davidson
person,MC1,Country_271835,Robert Carpenter
person,MC1,Country_459036,Mario Richardson
event,MC1,,âregions
organization,MC1,,7529
organization,MC1,,90254947
organization,MC1,,591787
person,MC1,Country_415128,Joseph Johnson
person,MC1,Country_895471,Peter Oliver
,MC1,,âsinkâ
organization,MC1,,555217629
person,MC1,Country_437825,Jeremy Jackson
person,MC1,Country_198078,Kelly Brown
person,MC1,Country_271835,Susan Porter
person,MC1,Country_271835,Meghan Wolfe
person,MC1,Country_931736,Zachary Petersen
person,MC1,Marebak,Stephen Evans
person,MC1,Country_271835,Charles Tran
location,MC1,,23550059-88d4-4a69-b74e-3c7de8bf56de
person,MC1,Country_984533,Patricia Byrd
person,MC1,Riodelsol,Ronald Mahoney
company,MC1,Country_271835,Playa de Coral GmbH Consultants
person,MC1,Country_271835,Kirk Jackson
,MC1,,âdegradedâ
person,MC1,Country_271835,Jeffrey Curry
person,MC1,Country_271835,Steven Huynh
person,MC1,Oceanterra,Evelyn Huang
event,MC1,,âpoint
person,MC1,Country_271835,Bonnie Perez
person,MC1,Country_483478,Courtney Evans
,MC1,,Mexicoâs YucatÃ
person,MC1,Country_271835,Jerry Welch
location,MC1,,1196cfc8-175c-465b-aee9-fbf74c81aa49
organization,MC1,,87
event,MC1,,NiÃ±o
person,MC1,Country_271835,Judy Johns
person,MC1,Country_271835,Richard Greer
person,MC1,Country_271835,David Hayden
person,MC1,Country_271835,Matthew Delgado
location,MC1,,21e68e53-183c-45a0-9805-68c099d4d9c0
,MC1,,âpioneersâ
event,MC1,,embaÃºba
,MC1,,âzombie
person,MC1,Country_981995,Kenneth Jones
event,MC1,,âSwiss
person,MC1,Country_271835,Elizabeth Dean
person,MC1,Country_271835,Daniel Mason
person,MC1,Country_271835,Miss Angel Thomas
person,MC1,Country_271835,Amanda Mitchell
person,MC1,Country_271835,Scott Brown
movement,MC1,,days
organization,MC1,,38111
person,MC1,Country_271835,Thomas Rivas
person,MC1,Country_271835,Holly Taylor
organization,MC1,,66030248
organization,MC1,,20571414
organization,MC1,,31894357
organization,MC1,,1225
organization,MC1,,363355
organization,MC1,,387674
person,MC1,Marebak,Alan Wells
political_organization,MC1,,981038
event,MC1,,âThese
person,MC1,Country_271835,Stephen Lowe
person,MC1,Country_271835,Nicholas Hernandez
person,MC1,Country_271835,Stephanie Robinson
location,MC1,,e678510b-947d-455a-8eb0-44d1009682ec
